Dimension	Feature	Label
Aktionsart	Accomplishment	accmp
Aktionsart	Achievement	ach
Aktionsart	Activity	acty
Aktionsart	Atelic	atel
Aktionsart	Durative	dur
Aktionsart	Dynamic	dyn
Aktionsart	Punctual	pct
Aktionsart	Semelfactive	semel
Aktionsart	Stative	stat
Aktionsart	Telic	tel
Animacy	Animate	anim
Animacy	Human	hum
Animacy	Inanimate	inan
Animacy	Non-human	nhum
Argument Marking	3.sg Object	argac3s
Aspect	Habitual	hab
Aspect	Imperfective	ipfv
Aspect	Iterative	iter
Aspect	Perfective	pfv
Aspect	Perfect	prf
Aspect	Progressive	prog
Aspect	Prospective	prosp
Aspect	Frequentative	freq
Case	Ablative	abl
Case	Absolutive	abs
Case	Accusative	acc
Case	Allative	all
Case	"Near, in front of"	ant
Case	Approximative	apprx
Case	Next to	apud
Case	At	at
Case	Aversive	avr
Case	Benefactive	ben
Case	Essive-modal	byway
Case	Near	circ
Case	Comitative	com
Case	Comparative	compv
Case	Dative	dat
Case	Equative	eqtv
Case	Ergative	erg
Case	Essive	ess
Case	Formal	frml
Case	Genitive	gen
Case	In	in
Case	Instrumental	ins
Case	Instrumental	inst
Case	Locative	loc
Case	Among	inter
Case	Nominative	nom
Case	"Nominative, S-only"	noms
Case	On	on
Case	On (horizontal)	onhr
Case	On (vertical)	onvr
Case	Behind	post
Case	Privative	priv
Case	Prolative/translative	prol
Case	Proprietive	propr
Case	Proximate	prox
Case	Purposive	prp
Case	Partitive	prt
Case	Relative	rel
Case	Distal	rem
Case	Under	sub
Case	Terminative	term
Case	Translative	trans
Case	Versative	vers
Case	Vocative	voc
Comparison	Absolute	ab
Comparison	Comparative	cmpr
Comparison	Equative	eqt
Comparison	Relative	rl
Comparison	Superlative	sprl
Definiteness	Definite	def
Definiteness	Non-Definite	ndef
Definiteness	Indefinite	indf
Definiteness	Non-Specific	nspec
Definiteness	Specific	spec
Deixis	Above	abv
Deixis	Below	bel
Deixis	Even	even
Deixis	Medial	med
Deixis	"No Reference Point, Distal"	noref
Deixis	Invisible	nvis
Deixis	"Phoric, situated in discourse"	phor
Deixis	Proximate	prox
Deixis	First Person Reference Point	ref1
Deixis	Second Person Reference Point	ref2
Deixis	Remote	remt
Deixis	Visible	vis
Evidentiality	Assumed	assum
Evidentiality	Auditory	aud
Evidentiality	Direct	drct
Evidentiality	Firsthand	fh
Evidentiality	Hearsay	hrsy
Evidentiality	Inferred	infer
Evidentiality	Non-firsthand	nfh
Evidentiality	Non-visual sensory	nvsen
Evidentiality	Quotative	quot
Evidentiality	Reported	rprt
Evidentiality	Sensory	sen
Finiteness	Finite	fin
Finiteness	Nonfinite	nfin
Gender	Bantu Noun Class	bantu1-23
Gender	Feminine	fem
Gender	Masculine	masc
Gender	Nakh-Daghestanian Noun Classes	nakh1-8
Gender	Neuter	neut
Information Structure	Focus	foc
Information Structure	Topic	top
Interrogativity	Declarative	decl
Interrogativity	Interrogative	int
Language-Specific Features	varies by language	lgspec
Language-Specific Features	varies by language	lgspec1
Language-Specific Features	varies by language	lgspec2
Language-Specific Features	varies by language	lgspec3
Language-Specific Features	varies by language	lgspec4
Language-Specific Features	varies by language	lgspec5
Language-Specific Features	varies by language	lgspec6
Language-Specific Features	varies by language	lgspec7
Language-Specific Features	varies by language	lgspec8
Language-Specific Features	varies by language	lgspec9
Language-Specific Features	varies by language	lgspec10
Mood	Admirative	adm
Mood	Australian Non-Purposive	aunprp
Mood	Australian Purposive	auprp
Mood	Conditional	cond
Mood	Debitive	deb
Mood	Deductive	ded
Mood	Imperative-Jussive	imp
Mood	Indicative	ind
Mood	Intentive	inten
Mood	Irrealis	irr
Mood	Likely	lkly
Mood	Obligative	oblig
Mood	Optative-Desiderative	opt
Mood	Permissive	perm
Mood	Potential	pot
Mood	General Purposive	purp
Mood	Realis	real
Mood	Subjunctive	sbjv
Mood	Simulative	sim
Number	Dual	du
Number	Greater paucal	gpauc
Number	Greater plural	grpl
Number	Inverse	invn
Number	Paucal	pauc
Number	Plural	pl
Number	Singular	sg
POS	Adjective	adj
POS	Adposition	adp
POS	Adverb	adv
POS	Article	art
POS	Auxiliary	aux
POS	Classifier	clf
POS	Complementizer	comp
POS	Conjunction	conj
POS	Determiner	det
POS	Interjection	intj
POS	Noun	n
POS	Numeral	num
POS	Particle	part
